,ls3,a4,soct2,idio2,np1,it1,l1b,prot3,vic1ext,aoj11,b1,b2,b3,b4,b6,b43,b12,b13,b18,b21,b21a,b32,b37,b47a,m1,m2,infrax,infra3,ros1,ros4,ing4,eff1,eff2,aoj22new,media3,media4,pn4,d1,d2,d3,d4,d5,d6,lib1,lib2b,lib2c,lib4,usmex1,exc7new,vb1,vb2,vb3n,usvb1011,pol1,usvb20,aca6,q1,q2,q5a,q5b,q3c,q10new,q11n,q12bn,q12,q12m,q12f,etid,www1,gi0
574,1,18,1,1,2,2,8,2,1,2,4,5,6,5,4,7,7,5,6,3,7,3,1,3,1,1,4,1,5,4,5,4,4,7,3,5,2,7,8,6,7,5,8,2,2,2,2,2,3,1,1,4002,4001,3,3,2,2,37,3,2,1,10,2,4,6,4,2,1,1,1
575,1,1,3,1,2,2,9,2,2,2,4,4,4,3,4,7,5,2,6,2,6,5,1,3,2,5,1,2,2,6,7,2,7,5,1,7,3,10,10,10,10,10,1,1,1,1,1,3,4,1,1,4002,4003,1,3,4,1,56,5,4,77,11,4,0,0,NA,NA,4,1,1
576,2,21,1,3,2,2,8,2,2,2,6,7,6,7,7,7,7,6,6,5,4,3,2,5,3,3,2,2,1,1,7,5,6,4,2,3,2,9,9,9,10,9,9,2,2,1,2,2,2,1,1,4002,4001,1,3,1,2,70,5,3,11,9,6,0,0,NA,NA,1,1,1
577,2,59,3,2,2,2,4,2,2,2,6,5,5,5,5,7,6,5,5,5,1,4,4,6,4,3,2,2,1,7,6,1,6,6,6,7,2,10,10,6,6,7,1,1,1,1,1,NA,2,1,1,4001,4002,1,2,3,2,66,5,2,2,8,2,0,1,1,0,1,1,1
578,4,22,2,2,2,4,5,2,2,4,4,2,3,1,4,2,3,3,3,4,1,1,1,1,5,3,3,2,5,3,4,4,4,5,4,4,3,9,10,7,7,10,10,2,2,2,2,3,3,1,2,NA,4003,3,2,5,2,24,5,4,11,8,3,0,0,NA,NA,1,1,1
579,1,10,2,2,2,2,4,2,2,2,4,5,4,5,6,7,4,3,5,3,4,4,2,6,3,3,2,2,2,4,5,3,3,5,2,6,2,3,8,7,3,7,10,2,2,2,2,1,4,1,1,4002,4001,3,3,2,2,43,5,2,2,13,2,0,2,1,1,7,1,2
580,1,15,2,2,1,1,6,2,2,1,5,2,2,4,5,5,7,1,4,3,1,7,5,4,5,4,1,1,2,3,7,2,7,3,1,7,3,3,10,10,10,10,10,1,2,1,1,3,3,1,1,4001,4002,1,2,2,1,56,2,2,2,12,2,0,2,1,1,1,1,1
581,1,15,2,1,2,2,8,2,2,1,5,2,4,5,5,6,7,2,7,1,4,2,1,4,2,5,1,2,1,1,5,1,5,5,1,7,3,7,6,6,5,9,9,2,2,2,2,3,4,1,1,4002,4001,3,3,1,1,62,5,4,11,13,2,0,0,NA,NA,1,1,1
582,1,7,3,2,2,2,10,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,6,5,7,7,7,7,7,7,7,7,4,10,10,10,10,10,10,2,2,2,2,2,1,2,2,NA,77,4,1,4,2,26,5,3,1,15,1,0,0,NA,NA,1,1,5
583,4,22,2,2,2,NA,6,2,NA,2,3,2,2,2,2,5,6,2,5,1,1,1,2,1,5,3,2,1,1,1,1,1,1,7,1,7,4,1,1,1,1,1,10,3,2,3,1,2,1,2,2,NA,4003,4,1,5,2,43,5,1,77,17,1,1,3,1,2,4,1,1
